"Country or Area","Year(s)","Variant","Value"
"Iceland","2059","Momentum","411.649"
"Iceland","2059","Instant replacement zero migration","428.135"
"Iceland","2059","Median PI","408.882"
"Iceland","2059","Upper 80 PI","434.878"
"Iceland","2059","Lower 80 PI","383.423"
"Iceland","2059","Upper 95 PI","451.223"
"Iceland","2059","Lower 95 PI","368.864"
"Iceland","2058","Medium","409.047"
"Iceland","2058","High","452.692"
"Iceland","2058","Low","367.348"
"Iceland","2058","Constant fertility","411.949"
"Iceland","2058","Instant replacement","447.039"
"Iceland","2058","Zero migration","390.553"
"Iceland","2058","Constant mortality","393.137"
"Iceland","2058","No change","396.04"
"Iceland","2058","Momentum","411.509"
"Iceland","2058","Instant replacement zero migration","427.327"
"Iceland","2058","Median PI","409.047"
"Iceland","2058","Upper 80 PI","434.063"
"Iceland","2058","Lower 80 PI","384.499"
"Iceland","2058","Upper 95 PI","449.794"
"Iceland","2058","Lower 95 PI","370.352"
"Iceland","2057","Medium","409.166"
"Iceland","2057","High","451.026"
"Iceland","2057","Low","368.966"
"Iceland","2057","Constant fertility","411.93"
"Iceland","2057","Instant replacement","445.579"
"Iceland","2057","Zero migration","391.254"
"Iceland","2057","Constant mortality","393.925"
"Iceland","2057","No change","396.696"
"Iceland","2057","Momentum","411.361"
"Iceland","2057","Instant replacement zero migration","426.509"
"Iceland","2057","Median PI","409.166"
"Iceland","2057","Upper 80 PI","433.317"
"Iceland","2057","Lower 80 PI","385.52"
"Iceland","2057","Upper 95 PI","448.45"
"Iceland","2057","Lower 95 PI","371.678"
"Iceland","2056","Medium","409.238"
"Iceland","2056","High","449.363"
"Iceland","2056","Low","370.498"
"Iceland","2056","Constant fertility","411.873"
"Iceland","2056","Instant replacement","444.115"
"Iceland","2056","Zero migration","391.901"
"Iceland","2056","Constant mortality","394.663"
"Iceland","2056","No change","397.303"
"Iceland","2056","Momentum","411.202"
"Iceland","2056","Instant replacement zero migration","425.681"
"Iceland","2056","Median PI","409.238"
"Iceland","2056","Upper 80 PI","432.579"
"Iceland","2056","Lower 80 PI","386.384"
"Iceland","2056","Upper 95 PI","447.127"
"Iceland","2056","Lower 95 PI","373.257"
"Iceland","2055","Medium","409.26"
"Iceland","2055","High","447.709"
"Iceland","2055","Low","371.952"
"Iceland","2055","Constant fertility","411.774"
"Iceland","2055","Instant replacement","442.657"
